date	fully vaccainated
12.02.2021	336532
13.02.2021	456891
14.02.2021	488937
15.02.2021	573879
16.02.2021	646162
17.02.2021	746170
18.02.2021	867116
19.02.2021	976716
20.02.2021	1030416
21.02.2021	1053837
22.02.2021	1098831
23.02.2021	1182976
24.02.2021	1267285
25.02.2021	1397487
26.02.2021	1553658
27.02.2021	1660133
28.02.2021	1677952
01.03.2021	1799160
02.03.2021	1949918
03.03.2021	2077031
04.03.2021	2206502
05.03.2021	2309952
06.03.2021	2373684
07.03.2021	2392405
08.03.2021	2436957
09.03.2021	2546475
10.03.2021	2614803
11.03.2021	2694656
12.03.2021	2883712
13.03.2021	3035740
14.03.2021	3099300
15.03.2021	3349666
16.03.2021	3747976
17.03.2021	4165023
18.03.2021	4439972
19.03.2021	4836843
20.03.2021	5013676
21.03.2021	5040024
22.03.2021	5220163
23.03.2021	5497482
24.03.2021	5836824
25.03.2021	6064254
26.03.2021	6295693
27.03.2021	6435535
29.03.2021	6578388
30.03.2021	6687094
31.03.2021	6840333
01.04.2021	6942183
02.04.2021	7003424
03.04.2021	7124023
04.04.2021	7136424
05.04.2021	7197068
06.04.2021	7279637
07.04.2021	7345498
08.04.2021	7462746
09.04.2021	7542933
10.04.2021	7579623
11.04.2021	7587364
12.04.2021	7620131
13.04.2021	7674352
14.04.2021	7716384
15.04.2021	7737134
16.04.2021	7773371
17.04.2021	7785631
18.04.2021	7787785
19.04.2021	7815143
20.04.2021	7856647
21.04.2021	7887103
22.04.2021	7932297
23.04.2021	7946945
24.04.2021	7954030
25.04.2021	7958979
26.04.2021	8107078
27.04.2021	8295424
28.04.2021	8619993
29.04.2021	8921774
30.04.2021	9104637
01.05.2021	9146939
02.05.2021	9206329
03.05.2021	9360609
04.05.2021	9596952
05.05.2021	9839869
06.05.2021	10076124
07.05.2021	10214163
08.05.2021	10307829
09.05.2021	10332793
10.05.2021	10399911
11.05.2021	10518123
12.05.2021	10637602
13.05.2021	10669750
14.05.2021	10747682
15.05.2021	10792375
16.05.2021	10825003
17.05.2021	10963952
18.05.2021	11334344
19.05.2021	11455389
20.05.2021	11572097
21.05.2021	11873853
22.05.2021	11899188
23.05.2021	12002892
24.05.2021	12045647
25.05.2021	12142752
26.05.2021	12166350
