total_vaccinations	date
0	13.01.2021
279452	14.01.2021
616652	15.01.2021
676903	16.01.2021
706451	17.01.2021
832412	18.01.2021
950635	19.01.2021
1052493	20.01.2021
1120258	21.01.2021
1202212	22.01.2021
1226883	23.01.2021
1244653	24.01.2021
1302753	25.01.2021
1410273	26.01.2021
1522580	27.01.2021
1697575	28.01.2021
1928351	29.01.2021
1960860	30.01.2021
1986237	31.01.2021
2136299	01.02.2021
2229233	02.02.2021
2343280	03.02.2021
2500806	04.02.2021
2559802	05.02.2021
2601717	06.02.2021
2610496	07.02.2021
2664203	08.02.2021
2732709	09.02.2021
2795116	10.02.2021
2846125	11.02.2021
3404354	12.02.2021
3709896	13.02.2021
3825101	14.02.2021
4182027	15.02.2021
4630784	16.02.2021
5223602	17.02.2021
5895295	18.02.2021
6361699	19.02.2021
6533510	20.02.2021
6571830	21.02.2021
6837302	22.02.2021
7289498	23.02.2021
7619695	24.02.2021
7979726	25.02.2021
8298805	26.02.2021
8514775	27.02.2021
8547875	28.02.2021
8774718	01.03.2021
9073640	02.03.2021
9317546	03.03.2021
9560038	04.03.2021
9756289	05.03.2021
9883607	06.03.2021
9917348	07.03.2021
10001980	08.03.2021
10222994	09.03.2021
10360283	10.03.2021
10502494	11.03.2021
10742277	12.03.2021
10923284	13.03.2021
10992095	14.03.2021
11261612	15.03.2021
11696296	16.03.2021
12142245	17.03.2021
12431482	18.03.2021
12844577	19.03.2021
13029754	20.03.2021
13057722	21.03.2021
13265952	22.03.2021
13589167	23.03.2021
13969867	24.03.2021
14227410	25.03.2021
14491247	26.03.2021
14652659	27.03.2021
14949260	29.03.2021
15301462	30.03.2021
15834787	31.03.2021
16148683	01.04.2021
16317170	02.04.2021
16602919	03.04.2021
16683067	04.04.2021
16993574	05.04.2021
17367875	06.04.2021
17704888	07.04.2021
18089783	08.04.2021
18320384	09.04.2021
18445354	10.04.2021
18494796	11.04.2021
18728978	12.04.2021
19062758	13.04.2021
19272675	14.04.2021
19445269	15.04.2021
19811774	16.04.2021
19937359	17.04.2021
19970215	18.04.2021
20075504	19.04.2021
20283227	20.04.2021
20477685	21.04.2021
20728975	22.04.2021
20887427	23.04.2021
21068403	24.04.2021
21130963	25.04.2021
21394785	26.04.2021
21678461	27.04.2021
22132803	28.04.2021
22568172	29.04.2021
22816891	30.04.2021
22899046	01.05.2021
23006734	02.05.2021
23294477	03.05.2021
23729113	04.05.2021
24103883	05.05.2021
24467719	06.05.2021
24691044	07.05.2021
24853353	08.05.2021
24918773	09.05.2021
25018078	10.05.2021
25178674	11.05.2021
25348875	12.05.2021
25402277	13.05.2021
25561998	14.05.2021
25687427	15.05.2021
25772743	16.05.2021
25950934	17.05.2021
26537163	18.05.2021
26821460	19.05.2021
27083374	20.05.2021
27745400	21.05.2021
27818947	22.05.2021
28048727	23.05.2021
28161235	24.05.2021
28397847	25.05.2021
28457120	26.05.2021
